trial;score
0;0.833333
1;0.733333
2;0.833333
3;0.833333
4;0.833333
5;1
6;0.833333
7;0.933333
8;0.9
9;0.833333
10;0.9
11;0.866667
12;0.766667
13;0.9
14;0.9
15;0.833333
16;0.866667
17;0.733333
18;0.9
19;0.833333
20;0.833333
21;0.866667
22;0.8
23;0.833333
24;0.933333
25;0.9
26;0.9
27;0.833333
28;0.933333
29;0.866667
