trial;score
0;0.8
1;0.8
2;0.7
3;0.633333
4;0.766667
5;0.8
6;0.7
7;0.9
8;0.8
9;0.766667
10;0.733333
11;0.766667
12;0.666667
13;0.666667
14;0.566667
15;0.733333
16;0.766667
17;0.733333
18;0.7
19;0.766667
20;0.733333
21;0.633333
22;0.766667
23;0.866667
24;0.7
25;0.766667
26;0.7
27;0.766667
28;0.766667
29;0.733333
