trial;score
0;0.466667
1;0.333333
2;0.366667
3;0.5
4;0.4
5;0.366667
6;0.366667
7;0.333333
8;0.366667
9;0.4
10;0.4
11;0.333333
12;0.466667
13;0.466667
14;0.333333
15;0.466667
16;0.4
17;0.366667
18;0.366667
19;0.333333
20;0.4
21;0.4
22;0.5
23;0.333333
24;0.4
25;0.4
26;0.333333
27;0.333333
28;0.366667
29;0.366667
