trial;score
0;0.233333
1;0.333333
2;0.4
3;0.366667
4;0.333333
5;0.3
6;0.333333
7;0.333333
8;0.366667
9;0.333333
10;0.333333
11;0.3
12;0.433333
13;0.4
14;0.366667
15;0.3
16;0.366667
17;0.3
18;0.233333
19;0.3
20;0.366667
21;0.366667
22;0.333333
23;0.466667
24;0.333333
25;0.4
26;0.4
27;0.3
28;0.333333
29;0.333333
