trial;score
0;0.433333
1;0.4
2;0.433333
3;0.4
4;0.4
5;0.466667
6;0.366667
7;0.4
8;0.466667
9;0.333333
10;0.4
11;0.433333
12;0.333333
13;0.266667
14;0.4
15;0.4
16;0.3
17;0.4
18;0.4
19;0.333333
20;0.366667
21;0.466667
22;0.4
23;0.466667
24;0.333333
25;0.4
26;0.4
27;0.433333
28;0.4
29;0.333333
